"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","Model including Interactions",11,690.700321858916,0,1,0.999277697882488,-334.114446643744,0.999277697882488
"2","Precip. only",7,705.165010881774,14.4646890228572,0.000722824205399847,0.000722302107945698,-345.483214660745,0.999999999990434
"3","Temp. only",7,742.043205116587,51.3428832576705,7.09634233409996e-12,7.09121663100545e-12,-363.922311778152,0.999999999997525
"4","Age only",7,744.148799601842,53.4484777429255,2.47634143829698e-12,2.47455277163242e-12,-364.975109020779,1
