"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","Model including Interactions",11,656.893103798225,0,1,0.999999999967047,-317.210837613398,0.999999999967047
"2","Precip. only",7,705.165010881337,48.2719070831116,3.29525146232767e-11,3.29525146221909e-11,-345.483214660526,1
"3","Temp. only",7,742.043017883395,85.1499140851696,3.23542315386256e-19,3.23542315375595e-19,-363.922218161555,1
"4","Age only",7,744.148799284213,87.2556954859878,1.12892858028012e-19,1.12892858024292e-19,-364.975108861964,1
