"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"2","AGB - Precip + SAC",7,6449.29292907682,0,1,0.999999999999984,-3217.64646453841,0.999999999999984
"6","AGB - Age + SAC",7,6512.81818911456,63.5252600377371,1.60570238362262e-14,1.60570238362259e-14,-3249.40909455728,1
"4","AGB - Temp + SAC",7,6527.69432780568,78.4013987288636,9.44827617442369e-18,9.44827617442354e-18,-3256.84716390284,1
"1","AGB - Precip",5,6803.08616067786,353.793231601041,1.49546375091482e-77,1.4954637509148e-77,-3396.54308033893,1
"5","AGB - Age",5,6868.42704995344,419.134120876619,9.68683858394324e-92,9.68683858394309e-92,-3429.21352497672,1
"3","AGB ~ Temp",5,6995.01731250477,545.724383427947,3.1438065799989e-119,3.14380657999885e-119,-3492.50865625238,1
