"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"3","Null - w. nested Random",4,799.516994800552,0,1,0.731058578676095,-395.758497400276,0.731058578676095
"5","Null - w. nested Random + SAC",5,801.516994801021,2.00000000046884,0.367879441085203,0.268941421323905,-395.75849740051,1
"4","Null - w. Random + SAC",4,903.393516477957,103.876521677405,2.77651432250401e-23,2.0297946142836e-23,-447.696758238979,1
"2","Null - w. Random",3,906.3608525752,106.843857774648,6.29725197966228e-24,4.60366008181713e-24,-450.1804262876,1
"1","Null - w/o Random",3,1339.01328860552,539.496293804964,7.07731126549008e-118,5.1739291145975e-118,-666.506644302758,1
