"Model","AICc","delta","R_squared"
"top_model",623.981931907499,0,0.288652163878661
"Precip_model",678.513114443205,54.5311825357062,0.110141537317317
"Temp_model",698.879965895383,74.8980339878842,0.0803051897558705
"Age_model",733.943300988263,109.961369080764,0.0232937220041374
