"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref","Age_sq"
"625","625","89",49.69,-74.34,-0.5,1007.5,45,61,NA,95,0.737704918032787,NA,"Luyssaert et al., 2007",9025
"626","626","93",41.85,13.59,7.4870587236741,1168.66666666667,113.14,147.71,NA,102.25,0.765960327669081,NA,"Luyssaert et al., 2007",10455.0625
"627","627","97",50.15,11.87,4.5,1000,124.42,NA,NA,148,NA,NA,"Luyssaert et al., 2007",21904
"628","628","110",2.5,-60,26.195,2620,178,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"629","629","124",43.4949,-122.1896,6.35,980,403.24,NA,NA,118,NA,NA,"Luyssaert et al., 2007",13924
"630","630","129",39.9,-105.87,2.89999997615814,740,78.97,91.35,NA,245,0.86447728516694,NA,"Luyssaert et al., 2007",60025
"631","631","137",50.15,11.87,4.5,1000,139.71,NA,NA,114,NA,NA,"Luyssaert et al., 2007",12996
"632","632","144",42.4725,-123.2665,10.22,1390,396.55,NA,NA,307,NA,NA,"Luyssaert et al., 2007",94249
"633","633","146",55.96,12.25,7.5,632,158.6,194,NA,118,0.817525773195876,NA,"Luyssaert et al., 2007",13924
"634","634","151",5.28,-52.91,25.75,2914,218.375,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"635","635","152",51.08,10.45,8.09166673819224,794.916666666667,204.76,239.17,NA,270,0.856127440732533,NA,"Luyssaert et al., 2007",72900
"636","636","155",19.75,-155.25,19.2999992370605,5800,61.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"637","637","156",19.75,-155.25,13,2600,40.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"638","638","162",44.4758,-123.8605,10.265,2330,237.82,NA,NA,85,NA,NA,"Luyssaert et al., 2007",7225
"639","639","163",44.3983,-123.7938,10.265,2330,332.64,NA,NA,105,NA,NA,"Luyssaert et al., 2007",11025
"640","640","165",56.3,10.48,7.09999990463257,660,103.99,124.3,NA,85,0.836604987932422,NA,"Luyssaert et al., 2007",7225
"641","641","169",44,-71.5,6,1325,62.42,75.8,NA,110,0.823482849604222,NA,"Luyssaert et al., 2007",12100
"642","642","174",62.85,30.97,2,662,50.32,73.37,NA,100,0.685838898732452,NA,"Luyssaert et al., 2007",10000
"643","643","177",53,103,1.29999995231628,471,86.56,118.71,NA,95,0.729171931598012,NA,"Luyssaert et al., 2007",9025
"644","644","178",50.1,20.37,7.80000019073486,729,114.35,137.86,NA,100,0.829464674307268,NA,"Luyssaert et al., 2007",10000
"645","645","180",60.82,16.5,5.30000019073486,607,29.92,39.96,NA,120,0.748748748748749,NA,"Luyssaert et al., 2007",14400
"646","646","181",60.82,16.5,5.30000019073486,663.5,31.47,34.27,NA,125,0.91829588561424,NA,"Luyssaert et al., 2007",15625
"647","647","197",62,34,2.20000004768372,650,67.77,83.37,NA,82,0.812882331774019,NA,"Luyssaert et al., 2007",6724
"648","648","198",62,34,2.20000004768372,650,87.09,106.36,NA,98,0.818822865739,NA,"Luyssaert et al., 2007",9604
"649","649","199",62,34,2.20000004768372,650,90.38,111.53,NA,109,0.810364924235632,NA,"Luyssaert et al., 2007",11881
"650","650","200",62,34,2.20000004768372,650,98.09,119.71,NA,126,0.819396875783143,NA,"Luyssaert et al., 2007",15876
"651","651","201",62,34,2.20000004768372,650,94.24,116.57,NA,138,0.808441279917646,NA,"Luyssaert et al., 2007",19044
"652","652","205",20.05,-155.9,16,2500,72.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"653","653","206",64.67,47.5,-1.20000004768372,499,62.43,81.56,NA,125,0.765448749386954,NA,"Luyssaert et al., 2007",15625
"654","654","208",22.05,-159.5,16,2500,103,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"655","655","212",66.37,29.33,0,500,48.93,66.59,NA,260,0.734795014266406,NA,"Luyssaert et al., 2007",67600
"656","656","215",55.75,13.92,6,900,106.22,123.42,NA,100,0.860638470264139,NA,"Luyssaert et al., 2007",10000
"657","657","219",51.33,10.36,6.5,775,133.44,155.17,NA,153,0.859960043822904,NA,"Luyssaert et al., 2007",23409
"658","658","221",51.33,10.36,7.63333336512248,758.333333333333,200.79,235.12,NA,111,0.853989452194624,NA,"Luyssaert et al., 2007",12321
"659","659","301",43.03,-89.4,6.90000009536743,777,125,156.03,NA,130,0.801127988207396,NA,"Luyssaert et al., 2007",16900
"660","660","305",60.09,17.48,6.15454548055475,560.166666666667,112.725,141.515,NA,102.5,0.796558668692365,NA,"Luyssaert et al., 2007",10506.25
"661","661","317",55.7,13.63,7,650,148.05,168.45,NA,100,0.878895814781835,NA,"Luyssaert et al., 2007",10000
"662","662","319",-2.98,-47.52,24.1000003814697,1750,62.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"663","663","320",2.98,102.3,25.6499996185303,1888.5,195.27,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"664","664","327",53.92,-104.68,1.10000002384186,359.333333333333,47.8466666666667,62.7833333333333,NA,106.666666666667,0.762091850278736,NA,"Luyssaert et al., 2007",11377.7777777778
"665","665","328",21.15,-156.8,21.38,2500,68.5,NA,NA,100,NA,NA,"Luyssaert et al., 2007",10000
"666","666","344",1.93,-67.05,26,3402.66666666667,129.36,155.2,NA,165,0.833505154639175,NA,"Luyssaert et al., 2007",27225
"667","667","351",50.06,11.83,5.5,890,130.8,158,NA,120,0.827848101265823,NA,"Luyssaert et al., 2007",14400
"668","668","358",36.67,138.5,4.19999980926514,1455,90.48,120.61,NA,290,0.750186551695548,NA,"Luyssaert et al., 2007",84100
"669","669","362",51.82,9.58,6.34999990463257,1054,129.25,146.69,NA,116,0.88110982343718,NA,"Luyssaert et al., 2007",13456
"670","670","370",46.24,-89.34,3.90000009536743,771,126.98,133.99,NA,350,0.94768266288529,NA,"Luyssaert et al., 2007",122500
