"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref"
"518","518","412",27.97,98.96,7.3,1302,80.2,107.31,NA,100,0.75,NA,"Luo, 1996"
"519","519","412",27.53,99.32,9.9,1157,112.1,153.93,NA,100,0.73,NA,"Luo, 1996"
"520","520","431",24.53,101,12.2,1172,170.9,245.59,NA,100,0.7,NA,"Luo, 1996"
"521","521","103",25.43,99.68,11.6,1151,159,214.55,NA,90,0.74,NA,"Luo, 1996"
"522","522","110",28.18,98.9,7.4,1365,92.1,123.99,NA,150,0.74,NA,"Luo, 1996"
"523","523","125",26.08,99.56,9.2,1125,66.5,89.42,NA,85,0.74,NA,"Luo, 1996"
"524","524","164",26.37,100.1,7.6,1020,99,133.1,NA,85,0.74,NA,"Luo, 1996"
"525","525","168",26.45,101.19,13.5,793,91.7,118.55,NA,85,0.77,NA,"Luo, 1996"
"526","526","185",26.23,99.56,10.1,1086,98.3,128.67,NA,85,0.76,NA,"Luo, 1996"
"527","527","230",27.02,100.35,9.8,918,84.1,110.58,NA,120,0.76,NA,"Luo, 1996"
"528","528","230",27.17,99.44,9.9,1094,187.9,250.28,NA,100,0.75,NA,"Luo, 1996"
"529","529","230",27.38,99.44,9.6,1110,47.9,64.59,NA,85,0.74,NA,"Luo, 1996"
"530","530","230",27.17,100.23,8.1,943,92.2,125.28,NA,120,0.74,NA,"Luo, 1996"
"531","531","300",27.17,100.72,9.4,871,67,85.63,NA,100,0.78,NA,"Luo, 1996"
"532","532","300",26.73,100.89,7.9,876,78.8,104.87,NA,90,0.75,NA,"Luo, 1996"
"533","533","160",29.3,110.1,12.8,1461,83,97.58,NA,130,0.85,NA,"Luo, 1996"
"534","534","359",33,108.2,8.8,811,68.2,83.4,NA,95,0.82,NA,"Luo, 1996"
"535","535","354",28.7,96.7,13.5,800,141.8,186.06,NA,93,0.76,NA,"Luo, 1996"
"536","536","445",27.7,99.7,10.7,1096,110.8,148.98,NA,101,0.74,NA,"Luo, 1996"
"537","537","15",31.2,98.8,5.9,555,55.4,64.63,NA,214,0.86,NA,"Luo, 1996"
"538","538","435",28.5,102.1,7.9,859,120.3,132.13,NA,220,0.91,NA,"Luo, 1996"
"539","539","105",33.59,103.57,3.4,796,48.2,54.94,NA,86,0.88,NA,"Luo, 1996"
"540","540","29",33.45,103.39,2.7,782,102,115.84,NA,130,0.88,NA,"Luo, 1996"
"541","541","336",30.9,102.4,5.5,782,83.4,92.37,NA,199,0.9,NA,"Luo, 1996"
"542","542","39",30.1,95,11.2,582,114.9,138.14,NA,108,0.83,NA,"Luo, 1996"
"543","543","189",28.9,85.2,7,370,48.5,58.69,NA,163,0.83,NA,"Luo, 1996"
"544","544","423",30.3,108.9,12.6,1242,136.5,164.88,NA,80,0.83,NA,"Luo, 1996"
"545","545","281",29.2,94.1,7.3,609,54.9,62.56,NA,80,0.88,NA,"Luo, 1996"
"546","546","218",29,93.1,5.7,591,58.6,66.95,NA,108,0.88,NA,"Luo, 1996"
"547","547","243",28.4,92.3,9.7,603,42.6,48.48,NA,90,0.88,NA,"Luo, 1996"
"548","548","341",28.7,96.7,8.7,713,56.2,65.37,NA,80,0.86,NA,"Luo, 1996"
"549","549","112",27.9,101.2,9.5,823,56.8,62.4,NA,93,0.91,NA,"Luo, 1996"
"550","550","230",27.32,99.57,9,1075,119.2,125.95,NA,110,0.95,NA,"Luo, 1996"
"551","551","300",27.1,100.59,11.1,880,195.8,209.13,NA,140,0.94,NA,"Luo, 1996"
"552","552","300",27.75,100.54,7.5,915,62.4,69.15,NA,150,0.9,NA,"Luo, 1996"
"553","553","300",27.67,100.66,7.6,892,46.8,52.03,NA,100,0.9,NA,"Luo, 1996"
"554","554","300",27.82,100.6,9,926,49.8,56.14,NA,150,0.89,NA,"Luo, 1996"
"555","555","438",26.45,100.89,10,872,147.3,156.54,NA,100,0.94,NA,"Luo, 1996"
"556","556","438",26.45,100.76,10.5,877,50.8,56.33,NA,80,0.9,NA,"Luo, 1996"
"557","557","439",26.3,99.32,10.3,1128,86.5,91.83,NA,120,0.94,NA,"Luo, 1996"
"558","558","439",26.15,99.08,11.4,1174,97.6,104.93,NA,110,0.93,NA,"Luo, 1996"
"559","559","447",44.5,130.2,2.1,730,77.9,120.38,NA,238,0.65,NA,"Luo, 1996"
"560","560","102",44.3,128.5,3.4,685,62.1,97.66,NA,173,0.64,NA,"Luo, 1996"
"561","561","102",44.3,129.4,2.7,718,84.3,124.06,NA,227,0.68,NA,"Luo, 1996"
"562","562","128",48.1,129.3,0.6,490,75.5,118.52,NA,185,0.64,NA,"Luo, 1996"
"563","563","20",42.42,128.2,3.6,825,115.5,136.65,NA,150,0.84,NA,"Luo, 1996"
"564","564","23",42.5,128.33,3,838,110,132.58,NA,166,0.83,NA,"Luo, 1996"
"565","565","335",43.3,128.2,2.7,766,97.6,130.22,NA,145,0.75,NA,"Luo, 1996"
"566","566","252",42.3,127.2,4,798,60.6,91.18,NA,146,0.66,NA,"Luo, 1996"
"567","567","80",42.4,128.1,3.5,827,93.2,117.18,NA,110,0.79,NA,"Luo, 1996"
"568","568","329",40.5,123.2,5.9,803,57.2,63.81,NA,95,0.9,NA,"Luo, 1996"
"569","569","217",34,107.3,9.6,657,109.4,139.38,NA,86,0.78,NA,"Luo, 1996"
"570","570","403",46.8,134,1.7,715,56.6,68.19,NA,103,0.83,NA,"Luo, 1996"
"571","571","79",42.4,128.1,4.1,810,82.4,98.66,NA,140,0.83,NA,"Luo, 1996"
"572","572","79",40.7,127.5,4.2,962,99.4,119.6,NA,157,0.83,NA,"Luo, 1996"
"573","573","335",43.3,128.2,3,761,79.6,97.6,NA,156,0.82,NA,"Luo, 1996"
"574","574","235",41.8,126.9,4,840,68.3,79.37,NA,125,0.86,NA,"Luo, 1996"
"575","575","291",44.5,130.2,1.8,732,43,55.11,NA,102,0.78,NA,"Luo, 1996"
"576","576","404",43.3,129.7,3.7,785,69.7,87.15,NA,101,0.8,NA,"Luo, 1996"
"577","577","184",50.4,124,-2.4,410,26.1,35.2,NA,97,0.74,NA,"Luo, 1996"
"578","578","355",37.7,111.48,8.1,482,43.8,51.08,NA,88,0.86,NA,"Luo, 1996"
"579","579","355",36.75,112.48,5.9,635,39.1,45.81,NA,81,0.85,NA,"Luo, 1996"
"580","580","105",33.2,104.2,8.2,870,52,58.98,NA,80,0.88,NA,"Luo, 1996"
"581","581","266",32.6,103,7.1,779,65.5,73.17,NA,120,0.9,NA,"Luo, 1996"
"582","582","403",46.8,134,1.9,719,55.1,77.84,NA,81,0.71,NA,"Luo, 1996"
"583","583","79",41.8,126.9,3.3,863,72.1,103.01,NA,83,0.7,NA,"Luo, 1996"
"584","584","361",32.98,104.19,4.1,892,48.4,63.23,NA,83,0.77,NA,"Luo, 1996"
