Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,Temp,Precip,AGB,Age,Reference 1,Method used to determine tree age,FullBibEntry
18,Subtropical,Subtropical humid forest,Asia,"Wangtai, Nanping, Fujian, China",Cunninghamia lanceolata,26.47,117.95,19.3,1669,306.3,80,CERN,Historical record,"Liu, Y., Yu, G., Wang, Q. and Zhang, Y. (2014), How temperature, precipitation and stand age control the biomass carbon density of global mature forests. Global Ecology and Biogeography, 23: 323–333."
19,Subtropical,Subtropical humid forest,Asia,"Wangtai, Nanping, Fujian, China",Cunninghamia lanceolata,26.47,117.95,19.3,1669,268.1,80,CERN,Historical record,"Liu, Y., Yu, G., Wang, Q. and Zhang, Y. (2014), How temperature, precipitation and stand age control the biomass carbon density of global mature forests. Global Ecology and Biogeography, 23: 323–333."
20,Temperate,Temperate continental forest,Asia,"Leizi, Dailing, Heilongjiang, China",Larix gmellinii,47,129,1.7,545,37,101,CERN,Tree rings,"Liu, Y., Yu, G., Wang, Q. and Zhang, Y. (2014), How temperature, precipitation and stand age control the biomass carbon density of global mature forests. Global Ecology and Biogeography, 23: 323–333."
21,Temperate,Temperate mountain system,Asia,"Dalongsi, Qilian, Qinghai, China",Sabina przewalskiiKom,38.7,100,-3.7,347,120.5,193,"Chang et al., 1997",Tree rings,"Chang, X.X., Che, K.J., Song, C.F., Wang, J.Y. & Li, B.X. (1997) Biomass and nutrient element accumulation of Sabina prezewalskii forest community. Journal of Northwest Forestry College, 12, 23-28"
22,Temperate,Temperate mountain system,Asia,"Dalongsi, Qilian, Qinghai, China",Sabina przewalskiiKom,38.7,100,-3.7,347,79.9,165,"Chang et al., 1997",Tree rings,"Chang, X.X., Che, K.J., Song, C.F., Wang, J.Y. & Li, B.X. (1997) Biomass and nutrient element accumulation of Sabina prezewalskii forest community. Journal of Northwest Forestry College, 12, 23-28"
23,Temperate,Temperate mountain system,Asia,"Dalongsi, Qilian, Qinghai, China",Sabina przewalskiiKom,38.7,100,-3.7,347,50.8,255,"Chang et al., 1997",Tree rings,"Chang, X.X., Che, K.J., Song, C.F., Wang, J.Y. & Li, B.X. (1997) Biomass and nutrient element accumulation of Sabina prezewalskii forest community. Journal of Northwest Forestry College, 12, 23-28"
24,Tropical,Tropical dry forest,Austrilia,"Gunn Point,Darwin,Austrilia",Eucalypt,-12.2333,131.0833,27.4,1700,33.6,,"Chen et al., 2003",,"Chen, X.Y., Hutley, L.B. & Eamus, D. (2003) Carbon balance of a tropical savanna of northern Australia. Oecologia, 137, 405-416."
25,Tropical,Tropical dry forest,Austrilia,"Howard Springs,Darwin,Austrilia",Eucalypt,-12.4943,131.151993,27.3,1700,33.6,,"Chen et al., 2003",,"Chen, X.Y., Hutley, L.B. & Eamus, D. (2003) Carbon balance of a tropical savanna of northern Australia. Oecologia, 137, 405-416."
26,Tropical,Tropical dry forest,Austrilia,"Humpty  Doo,Darwin,Austrilia",Eucalypt,-12.6,131.1667,27.3,1700,33.6,,"Chen et al., 2003",,"Chen, X.Y., Hutley, L.B. & Eamus, D. (2003) Carbon balance of a tropical savanna of northern Australia. Oecologia, 137, 405-416."
27,Tropical,Tropical dry forest,Austrilia,"Territory  Wildlife  Park,Darwin,Austrilia",Eucalypt,-12.7,131,27.3,1700,33.6,,"Chen et al., 2003",,"Chen, X.Y., Hutley, L.B. & Eamus, D. (2003) Carbon balance of a tropical savanna of northern Australia. Oecologia, 137, 405-416."
28,Temperate,Temperate mountain system,Asia,"Qilian, Qinghai, China",Sabina przewalskiiKom,37.47,101.21,0.1,459,55.7,150,"China’s Forest Editorial Committee, 1999",Tree rings,"China’s Forest Editorial Committee (1999) China’s Forest (Volume 2): Coniferous Forest. China Forestry Publishing House, Beijing, China"
29,Temperate,Temperate mountain system,Asia,"Xianmi, Qinghai, China",Sabina przewalskiiKom,37.27,101.95,1,490,61,170,"China’s Forest Editorial Committee, 1999",Tree rings,"China’s Forest Editorial Committee (1999) China’s Forest (Volume 2): Coniferous Forest. China Forestry Publishing House, Beijing, China"
30,Temperate,Temperate mountain system,Asia,"Yangyu, Qinghai, China",Sabina przewalskiiKom,37.3,101.6,-1.6,494,53,180,"China’s Forest Editorial Committee, 1999",Tree rings,"China’s Forest Editorial Committee (1999) China’s Forest (Volume 2): Coniferous Forest. China Forestry Publishing House, Beijing, China"
31,Temperate,Temperate mountain system,Asia,"Yangyu, Qinghai, China",Sabina przewalskiiKom,37.3,101.6,-1.6,494,59.2,206,"China’s Forest Editorial Committee, 1999",Tree rings,"China’s Forest Editorial Committee (1999) China’s Forest (Volume 2): Coniferous Forest. China Forestry Publishing House, Beijing, China"
32,Temperate,Temperate mountain system,Asia,"Yangyu, Qinghai, China",Sabina przewalskiiKom,37.3,101.6,-1.6,494,139.8,290,"China’s Forest Editorial Committee, 1999",Tree rings,"China’s Forest Editorial Committee (1999) China’s Forest (Volume 2): Coniferous Forest. China Forestry Publishing House, Beijing, China"
33,Temperate,Temperate mountain system,Asia,"Zhongtie, Qinghai, China",Sabina przewalskiiKom,35.02,100.05,-1.6,430,128.1,252,"China’s Forest Editorial Committee, 1999",Tree rings,"China’s Forest Editorial Committee (1999) China’s Forest (Volume 2): Coniferous Forest. China Forestry Publishing House, Beijing, China"
