Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,Temp,Precip,AGB,Age,Reference 1,Method used to determine tree age,FullBibEntry
140,Boreal,Boreal coniferous forest,Europe,"Kangasvaara, eastern Finland","Picea abies,Pinus sylvestis,Betula pubescens,Populus tremula",63.85,28.97,1.2,709,82,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
141,Temperate,Temperate continental forest,North America,Kentucky,"Fagus grandifolia,Quercus alba",37.72,-83.8,12.7,1230,165,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
142,Tropical,Tropical rainforest,Asia,"Khao Chong, peninsular Thailand",,7.5,99.8,27.2,2700,182,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
143,Boreal,Boreal coniferous forest,Asia,"Koinas, Russia",Picea abies,64.67,47.5,-1.2,499,66,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
144,Tropical,Tropical rainforest,Central America,"La Selva Biological Station, Costa Rica",,9.85,-83.6,26,4000,87,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
145,Temperate,Temperate continental forest,Europe,Lithuania,Pinus sylvestris,55.42,26.02,6,760,75,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
146,Boreal,Boreal coniferous forest,Europe,"Llomantsi, Finland","Picea abies,Pinus sylvestis,Betula pubescens",62.85,30.88,1.7,640,25,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
147,Tropical,Tropical moist deciduous forest,Central America,"Luquillo, Puerto Rico",Prestoea montana,18.42,-65.92,19.7,1885,224,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
148,Temperate,Temperate oceanic forest,Australasia,"Maimai, South Island NZ","Nothofagus truncata,Podocarpus ferrugineus",-42.16,171.75,10.9,2600,153,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
149,Tropical,Tropical rainforest,South America,"Manaus, Central Amazon",,-2.5,-60,26.7,2200,162,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
150,Tropical,Tropical rainforest,South America,"Manaus, Central Amazon",,-2.97,-60.18,26.7,2285,180,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
151,Tropical,Tropical moist deciduous forest,South America,"Manaus, Central Amazon, Brazil",,3.1,-60.03,27.4,1571,237,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
152,Tropical,Tropical mountain system,Asia,"Marafunga, New Guinea",,-6,145.18,13,4000,387,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
153,Temperate,Temperate mountain system,Australasia,"montane, south east Aust.",E. delegatensis,-35.37,148.83,10.3,1185,199,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
154,Temperate,Temperate oceanic forest,Australasia,"Nelson, South Island NZ",Nothofagus truncata,-41.52,172.75,10.5,1307,166,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
155,Boreal,Boreal mountain system,Europe,northern Finland,Pinus sylvestris,69.73,27.02,-1,450,14,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
156,Subtropical,Subtropical humid forest,Australasia,"northern NSW, Aust.",E. pilularis,-30.33,152.64,15.2,1467,298,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
157,Subtropical,Subtropical humid forest,Australasia,"northern NSW, Aust.","Caldluvia paniculosa,Geissois benthami",-28.5,153,18.9,1192,182,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
158,Tropical,Tropical rainforest,South America,Northern Rôndonia State,,-8.75,-63.38,26.2,2300,143,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
159,Temperate,Temperate mountain system,Australasia,"NSW south coast, Aust.","E. fastigata,E. sieberi,Corymbia maculata",-35.6,149.88,10.8,1090,270,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
160,Temperate,Temperate oceanic forest,Australasia,"NSW south coast, Aust.","E. sieberi,E. agglomerata,E. obliqua",-37,149.5,11.2,1051,218,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
161,Temperate,Temperate oceanic forest,Australasia,"NSW south coast, Aust.","E. fastigata,E. sieberi,Corymbia maculata",-35.47,150.11,13.8,1097,447,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
162,Temperate,Temperate mountain system,North America,Oregon,Abies amabilis;Pseudotsuga menziesii,44,-122.67,10.1,1789,440,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
163,Temperate,Temperate mountain system,North America,Oregon Cascades,Pseudotsuga menziesii,44.2,-122.2,8.4,2002,432,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
164,Temperate,Temperate mountain system,North America,Oregon Cascades,Pseudotsuga menziesii,44,-122.5,8.5,2300,356,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
165,Temperate,Temperate mountain system,North America,Oregon Cascades,Pseudotsuga menziesii,44,-122.5,8.5,2300,587,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
166,Temperate,Temperate mountain system,North America,Oregon Cascades,Pseudotsuga menziesii,44,-122.5,10.1,1789,331,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
167,Temperate,Temperate mountain system,North America,Oregon coast,Tsuga heterophylla-Picea sitchensis,45,-123.93,10.1,3115,436,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
168,Temperate,Temperate mountain system,North America,"Oregon, Waldo Lake","Tsuga mertensiana,Pinus contorta,Pinus monticola",43.5,-122,4.6,404,158,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
169,Boreal,Boreal coniferous forest,Europe,"Oulu, Finland",Picea excels,66.37,29,0,500,51,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
170,Tropical,Tropical rainforest,Asia,"Pasoh FR, Negeri Sembilan, Malaysia",,2.97,102.3,28,1842,215,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
171,Tropical,Tropical moist deciduous forest,Asia,"Ping Kong, northwestern Thailand",,19.5,99,24,1364,146,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
172,Tropical,Tropical rainforest,South America,"Rio Branco, western Amazon",,-10.12,-68,25,1940,95,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
173,Tropical,Tropical rainforest,South America,"Rio Negro, Venezuela",,1.93,-67.05,24.9,3500,117,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
174,Tropical,Tropical rainforest,South America,Rondonia,,-9.2,-60.05,25.2,2354,195,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
175,Boreal,Boreal coniferous forest,Europe,"Rovaniemi, northern Finland","Pinus sylvestris,Picea abies,Betula pendula,B. pubescens",66.34,25.5,0.5,591,77,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
176,Tropical,Tropical rainforest,South America,"San Carlos, Venezuela",,1.92,-67.07,26,3600,138,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
177,Tropical,Tropical rainforest,South America,"San Carlos, Venezuela",,1.92,-67.07,26,3600,182,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
178,Temperate,Temperate oceanic forest,South America,"San Pablo de Tregua, Andes,",Laureliopsis philippiana,-39.63,-72.08,9.7,2400,332,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
179,Temperate,Temperate oceanic forest,South America,"San Pablo de Tregua, Andes,",Nothofagus dombeyi,-39.63,-72.08,9.7,2400,439,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
180,Boreal,Boreal coniferous forest,North America,"Saskatchewan, Canada, BOREAS SSA",Pinus banksiana,53.99,-104.99,-1.1,405,35,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
181,Boreal,Boreal coniferous forest,North America,"Saskatchewan, Canada, BOREAS SSA",Populus tremuloides,53.99,-104.99,-1.1,405,93,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
182,Boreal,Boreal coniferous forest,North America,"Saskatchewan, Canada, BOREAS-SSA",Picea marina,53.99,-104.99,-1.1,405,49,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
183,Tropical,Tropical rainforest,Asia,"Sebulu, East Kalimantan, Indonesia",,-1.5,116.97,27,1862,254,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
184,Tropical,Tropical rainforest,Asia,"Sebulu, East Kalimantan, Indonesia",,-1.5,116.97,27,1862,436,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
185,Temperate,Temperate mountain system,North America,Southern Appalachians,,35.68,-83.42,12.7,1306,236,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
186,Boreal,Boreal coniferous forest,Europe,Southern Finland,Pinus sylvestris,61.65,29.28,4,550,28,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
187,Temperate,Temperate oceanic forest,Australasia,"southern NSW & Vict., Aust.","E. bridgesiana,E. cypellocarpa,E. muellerana",-37.26,148.71,11.2,1041,294,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
188,Temperate,Temperate continental forest,Europe,southern Poland,Pinus sylvestris,50.47,22.98,8,600,68,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
189,Subtropical,Subtropical humid forest,Australasia,"southern Qld., Aust.",Argyrodendron,-27.33,152.75,17,1448,224,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
190,Temperate,Temperate oceanic forest,Australasia,"southern Tasmania, Aust.",E. regnans,-42.83,146.57,8.6,1503,752,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
191,Temperate,Temperate oceanic forest,Australasia,"southern Tasmania, Aust.",E. obliqua,-43.21,146.7,9.8,1722,444,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
192,Temperate,Temperate oceanic forest,Australasia,"southern Tasmania, Aust.",E. obliqua,-43.09,146.7,9.9,1490,668,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
193,Boreal,Boreal coniferous forest,Europe,"Tampere, southern Finland","Pinus sylvestris,Picea abies,Betula pendula,B. pubescens",61.28,23.44,4,548,102,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
194,Tropical,Tropical moist deciduous forest,South America,"Tapajos NF, Brazil",,3.04,-54.95,25,2000,141,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
195,Tropical,Tropical rainforest,South America,"Tapajos, Central Amazon",,-2.85,-54.97,24.5,1909,141,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
196,Tropical,Tropical rainforest,South America,"Tapajos, Central Amazon",,-2.85,-54.97,25,1920,153,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
197,Tropical,Tropical dry forest,Asia,"Thong Pha Phum NF, Thailand",,14.67,98.68,25,1650,48,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
198,Tropical,Tropical dry forest,Asia,"Thong Pha Phum NF, Thailand",,14.67,98.68,25,1650,70,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
199,Tropical,Tropical dry forest,Asia,"Thong Pha Phum NF, Thailand",,14.67,98.68,25,1650,138,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
200,Boreal,Boreal mountain system,Asia,Tura,Larix gmelinii,64.32,100.22,-9.5,322,11,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
201,Tropical,Tropical rainforest,Asia,"Ulu Segama FR, Sabah, Malysia",,5,117.5,26.7,2700,165,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
202,Tropical,Tropical dry forest,South America,Venezuela,,10.5,-71,10.5,1968,157,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
203,Tropical,Tropical moist deciduous forest,South America,Venezuela,,9.5,-71,15,1487,173,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
204,Tropical,Tropical moist deciduous forest,South America,Venezuela,,9,-64,25.5,2850,179,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
205,Tropical,Tropical mountain system,South America,Venezuela,,9.5,-70,26,1500,148,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
206,Tropical,Tropical moist deciduous forest,South America,Venezuela,,10,-66,27,800,70,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
207,Temperate,Temperate oceanic forest,Europe,"Waldstein, Germany",Piceaabies,50.15,11.87,5.8,1100,105,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
208,Temperate,Temperate oceanic forest,North America,Washington,"Abies amabilis,Pseudotsuga menziesii",47,-122.67,10.1,1789,422,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
209,Temperate,Temperate mountain system,North America,Washington,Pseudotsuga menziesii,46,-122,12.5,1000,278,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
210,Temperate,Temperate mountain system,North America,Washington Cascades,Abies amabilis,46.8,-121.7,5.4,2700,224,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
211,Temperate,Temperate mountain system,North America,Washington Cascades,"Abies amabilis,Tsuga heterophylla",46.8,-121.7,6.4,2375,380,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
212,Temperate,Temperate mountain system,North America,Washington coast,"Tsuga heterophylla,Picea sitchensis",47.7,-123.9,8.5,3356,364,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
213,Temperate,Temperate continental forest,North America,Wisconsin,"Tsuga canadensis,Pinus strobus",45.5,-89.33,5.3,800,286,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
214,Boreal,Boreal coniferous forest,Asia,Yakutsk,Larix gmellinii,60.85,128.27,-10,213,55,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
215,Boreal,Boreal coniferous forest,Asia,Yakutsk,Larix gmelinii,60.85,128.27,-9.6,213,18,,"Keith et al., 2009",,"Keith, H., Mackey, B.G. & Lindenmayer, D.B. (2009) Re-evaluation of forest biomass carbon stocks and lessons from the world's most carbon-dense forests. Proceedings of the National Academy of Sciences USA, 106, 11635-11640."
216,Tropical,Tropical rainforest,Africa,Cameroon,,3.33,12.76,23.5,1623,149.8,,"Lewis et al., 2009",,"Lewis, S.L., Lopez-Gonzalez, G., Sonké, B., Affum-Baffoe, K., Baker, T.R., Ojo, L.O., Phillips, O.L., Reitsma, J.M., Lee, W., Comiskey, J.A., K, M.D., Ewango, C.E.N., Feldpausch, T.R., Hamilton, A.C., Gloor, M., Hart, T., Hladik, A., Lloyd, J., Lovett, J.C., Makana, J.-R., Malhi, Y., Mbago, F.M., Ndangalasi, H.J., Peacock, J., Peh, K.S.H., Sheil, D., Sunderland, T., Swaine, M.D., Taplin, J., Taylor, D., Thomas, S.C., Votere, R. & Wöll, H. (2009) Increasing carbon storage in intact African tropical forests. Nature, 457, 1003-1006."
217,Tropical,Tropical rainforest,Africa,Cameroon,,3.32,12.87,23.3,1630,151.2,,"Lewis et al., 2009",,"Lewis, S.L., Lopez-Gonzalez, G., Sonké, B., Affum-Baffoe, K., Baker, T.R., Ojo, L.O., Phillips, O.L., Reitsma, J.M., Lee, W., Comiskey, J.A., K, M.D., Ewango, C.E.N., Feldpausch, T.R., Hamilton, A.C., Gloor, M., Hart, T., Hladik, A., Lloyd, J., Lovett, J.C., Makana, J.-R., Malhi, Y., Mbago, F.M., Ndangalasi, H.J., Peacock, J., Peh, K.S.H., Sheil, D., Sunderland, T., Swaine, M.D., Taplin, J., Taylor, D., Thomas, S.C., Votere, R. & Wöll, H. (2009) Increasing carbon storage in intact African tropical forests. Nature, 457, 1003-1006."
